stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone,wheelchair_boarding,stop_lon,stop_lat
9100ABRDEEN3,ABD,Aberdeen Platform 3,2,,,0,910GABRDEEN,3,Europe/London,1,-2.097480496,57.14304825
9100ABRDEEN6S,ABD,Aberdeen Platform 6S,2,,,0,910GABRDEEN,6S,Europe/London,1,-2.097480496,57.14304825
9100AIRP,APN,NEWCASTLE AIRPRT,0,,,0,910GAIRP,,Europe/London,0,-1.7120796829648182,55.03587810261157
9100AMERSHM,AMR,Amersham,1,,,0,910GAMERSHM,,Europe/London,1,-0.607590127,51.6742069133
9100ARBROTH1,ARB,Arbroath Platform 1,1,,,0,910GARBROTH,1,Europe/London,1,-2.5889364,56.55956606
9100ARBROTH2,ARB,Arbroath Platform 2,1,,,0,910GARBROTH,2,Europe/London,1,-2.5889364,56.55956606
9100ARCHRAT1,ART,Arrochar & Tarbet Platform 1,0,,,0,910GARCHRAT,1,Europe/London,2,-4.722756857,56.2039585
9100ARCHRAT2,ART,Arrochar & Tarbet Platform 2,0,,,0,910GARCHRAT,2,Europe/London,2,-4.722756857,56.2039585
9100ARDLUI1,AUI,Ardlui Platform 1,0,,,0,910GARDLUI,1,Europe/London,2,-4.721642823,56.3019481
9100ARDLUI2,AUI,Ardlui Platform 2,0,,,0,910GARDLUI,2,Europe/London,2,-4.721642823,56.3019481
9100AVIEMRE1,AVM,Aviemore Platform 1,1,,,0,910GAVIEMRE,1,Europe/London,2,-3.828333974,57.18905401
9100BHAMINT3,BHI,Birmingham International Platform 3,3,,,0,910GBHAMINT,3,Europe/London,1,-1.725863394,52.45081461
9100BHAMINT4,BHI,Birmingham International Platform 4,3,,,0,910GBHAMINT,4,Europe/London,1,-1.725863394,52.45081461
9100BHAMINT5,BHI,Birmingham International Platform 5,3,,,0,910GBHAMINT,5,Europe/London,1,-1.725863394,52.45081461
9100BLARATH1,BLA,Blair Atholl Platform 1,0,,,0,910GBLARATH,1,Europe/London,1,-3.850217553,56.7655294
9100BLARATH2,BLA,Blair Atholl Platform 2,0,,,0,910GBLARATH,2,Europe/London,1,-3.850217553,56.7655294
9100BODMNPW2,BOD,Bodmin Parkway Platform 2,1,,,0,910GBODMNPW,2,Europe/London,2,-4.662971107,50.44585588
9100BOORCHY1,BRO,Bridge of Orchy Platform 1,0,,,0,910GBOORCHY,1,Europe/London,2,-4.762977191,56.51584582
9100BOORCHY2,BRO,Bridge of Orchy Platform 2,0,,,0,910GBOORCHY,2,Europe/London,2,-4.762977191,56.51584582
9100BRWHINS,BNR,BROCKLEY WHINS,0,,,0,910GBRWHINS,,Europe/London,0,-1.4627706868661126,54.95865016473463
9100CARLILE3,CAR,Carlisle Platform 3,3,,,0,910GCARLILE,3,Europe/London,1,-2.933810228,54.89064626
