from_stop_id,to_stop_id,transfer_type,min_transfer_time,mode,start_time,end_time,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
910GDUNANE,910GDUNANE,2,300,,,,,,,,,,,,
910GDUNDETB,910GDUNDETB,2,300,,,,,,,,,,,,
910GDUNKELD,910GDUNKELD,2,300,,,,,,,,,,,,
910GEBOLDON,910GEBOLDON,2,300,,,,,,,,,,,,
910GEDINBUR,910GEDINBUR,2,600,,,,,,,,,,,,
910GEMPKAIR,910GEMPKAIR,2,300,,,,,,,,,,,,
910GEUSTON,910GACTONW,2,2700,TUBE,00:00:00,23:59:59,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GEUSTON,910GAMERSHM,2,5160,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GEUSTON,910GCHLFNAL,2,5100,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GEUSTON,910GCHRW,2,5040,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GEUSTON,910GEUSTON,2,900,,,,,,,,,,,,
910GEUSTON,910GHIGHBYE,2,960,TUBE,05:29:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GEUSTON,910GPADTON,2,780,TRANSFER|TUBE,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GEUSTON,910GRCKMNSW,2,4980,TUBE,07:00:00,10:45:00,2026-09-06,2026-09-06,0,0,0,0,0,0,1
910GEXETRSD,910GEXETRSD,2,360,,,,,,,,,,,,
910GFALKRKG,910GFALKRKG,2,240,,,,,,,,,,,,
910GFALKRKG,910GFALKRKH,2,1800,WALK,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GFALKRKH,910GFALKRKG,2,1800,WALK,00:01:00,23:59:00,2017-01-01,2038-01-19,1,1,1,1,1,1,1
910GFALKRKH,910GFALKRKH,2,180,,,,,,,,,,,,
910GFELL,910GFELL,2,300,,,,,,,,,,,,
910GFRTWLM,910GFRTWLM,2,300,,,,,,,,,,,,
910GFRWDJN,910GFRWDJN,2,300,,,,,,,,,,,,
910GGLGC,910GGLGC,2,900,,,,,,,,,,,,
